DiscoFoliar,ID_Ensaio,Tecnico,Inicio,Cultura,Especie,Comentarios,Celula
1,1234,cvcv,01/11/2021 10:52,Soja,Chrysodeixis includens,cvv,A1
2,1234,cvcv,01/11/2021 10:52,Soja,Chrysodeixis includens,cvv,A2
3,1234,cvcv,01/11/2021 10:52,Soja,Chrysodeixis includens,cvv,A3
4,1234,cvcv,01/11/2021 10:52,Soja,Chrysodeixis includens,cvv,A4
5,1234,cvcv,01/11/2021 10:52,Soja,Chrysodeixis includens,cvv,A5
6,1234,cvcv,01/11/2021 10:52,Soja,Chrysodeixis includens,cvv,A6
7,1234,cvcv,01/11/2021 10:52,Soja,Chrysodeixis includens,cvv,A7
8,1234,cvcv,01/11/2021 10:52,Soja,Chrysodeixis includens,cvv,A8
9,1234,cvcv,01/11/2021 10:52,Soja,Chrysodeixis includens,cvv,A9
10,1234,cvcv,01/11/2021 10:52,Soja,Chrysodeixis includens,cvv,A10
11,1234,cvcv,01/11/2021 10:52,Soja,Chrysodeixis includens,cvv,A11
12,1234,cvcv,01/11/2021 10:52,Soja,Chrysodeixis includens,cvv,A12
13,1234,cvcv,01/11/2021 10:52,Soja,Chrysodeixis includens,cvv,A13
14,1234,cvcv,01/11/2021 10:52,Soja,Chrysodeixis includens,cvv,A14
15,1234,cvcv,01/11/2021 10:52,Soja,Chrysodeixis includens,cvv,A15
16,1234,cvcv,01/11/2021 10:52,Soja,Chrysodeixis includens,cvv,A16
17,1234,cvcv,01/11/2021 10:52,Cultura,Espécie,,B1
18,1234,cvcv,01/11/2021 10:52,Cultura,Espécie,,B2
19,1234,cvcv,01/11/2021 10:52,Cultura,Espécie,,B3
20,1234,cvcv,01/11/2021 10:52,Cultura,Espécie,,B4
21,1234,cvcv,01/11/2021 10:52,Cultura,Espécie,,B5
22,1234,cvcv,01/11/2021 10:52,Cultura,Espécie,,B6
23,1234,cvcv,01/11/2021 10:52,Cultura,Espécie,,B7
24,1234,cvcv,01/11/2021 10:52,Cultura,Espécie,,B8
25,1234,cvcv,01/11/2021 10:52,Cultura,Espécie,,B9
26,1234,cvcv,01/11/2021 10:52,Cultura,Espécie,,B10
27,1234,cvcv,01/11/2021 10:52,Cultura,Espécie,,B11
28,1234,cvcv,01/11/2021 10:52,Cultura,Espécie,,B12
29,1234,cvcv,01/11/2021 10:52,Cultura,Espécie,,B13
30,1234,cvcv,01/11/2021 10:52,Cultura,Espécie,,B14
31,1234,cvcv,01/11/2021 10:52,Cultura,Espécie,,B15
32,1234,cvcv,01/11/2021 10:52,Cultura,Espécie,,B16
33,1234,cvcv,01/11/2021 10:52,Cultura,Espécie,,C1
34,1234,cvcv,01/11/2021 10:52,Cultura,Espécie,,C2
35,1234,cvcv,01/11/2021 10:52,Cultura,Espécie,,C3
36,1234,cvcv,01/11/2021 10:52,Cultura,Espécie,,C4
37,1234,cvcv,01/11/2021 10:52,Cultura,Espécie,,C5
38,1234,cvcv,01/11/2021 10:52,Cultura,Espécie,,C6
39,1234,cvcv,01/11/2021 10:52,Cultura,Espécie,,C7
40,1234,cvcv,01/11/2021 10:52,Cultura,Espécie,,C8
41,1234,cvcv,01/11/2021 10:52,Cultura,Espécie,,C9
42,1234,cvcv,01/11/2021 10:52,Cultura,Espécie,,C10
43,1234,cvcv,01/11/2021 10:52,Cultura,Espécie,,C11
44,1234,cvcv,01/11/2021 10:52,Cultura,Espécie,,C12
45,1234,cvcv,01/11/2021 10:52,Cultura,Espécie,,C13
46,1234,cvcv,01/11/2021 10:52,Cultura,Espécie,,C14
47,1234,cvcv,01/11/2021 10:52,Cultura,Espécie,,C15
48,1234,cvcv,01/11/2021 10:52,Cultura,Espécie,,C16
49,1234,cvcv,01/11/2021 10:52,Cultura,Espécie,,D1
50,1234,cvcv,01/11/2021 10:52,Cultura,Espécie,,D2
51,1234,cvcv,01/11/2021 10:52,Cultura,Espécie,,D3
52,1234,cvcv,01/11/2021 10:52,Cultura,Espécie,,D4
53,1234,cvcv,01/11/2021 10:52,Cultura,Espécie,,D5
54,1234,cvcv,01/11/2021 10:52,Cultura,Espécie,,D6
55,1234,cvcv,01/11/2021 10:52,Cultura,Espécie,,D7
56,1234,cvcv,01/11/2021 10:52,Cultura,Espécie,,D8
57,1234,cvcv,01/11/2021 10:52,Cultura,Espécie,,D9
58,1234,cvcv,01/11/2021 10:52,Cultura,Espécie,,D10
59,1234,cvcv,01/11/2021 10:52,Cultura,Espécie,,D11
60,1234,cvcv,01/11/2021 10:52,Cultura,Espécie,,D12
61,1234,cvcv,01/11/2021 10:52,Cultura,Espécie,,D13
62,1234,cvcv,01/11/2021 10:52,Cultura,Espécie,,D14
63,1234,cvcv,01/11/2021 10:52,Cultura,Espécie,,D15
64,1234,cvcv,01/11/2021 10:52,Cultura,Espécie,,D16
65,1234,cvcv,01/11/2021 10:52,Cultura,Espécie,,E1
66,1234,cvcv,01/11/2021 10:52,Cultura,Espécie,,E2
67,1234,cvcv,01/11/2021 10:52,Cultura,Espécie,,E3
68,1234,cvcv,01/11/2021 10:52,Cultura,Espécie,,E4
69,1234,cvcv,01/11/2021 10:52,Cultura,Espécie,,E5
70,1234,cvcv,01/11/2021 10:52,Cultura,Espécie,,E6
71,1234,cvcv,01/11/2021 10:52,Cultura,Espécie,,E7
72,1234,cvcv,01/11/2021 10:52,Cultura,Espécie,,E8
73,1234,cvcv,01/11/2021 10:52,Cultura,Espécie,,E9
74,1234,cvcv,01/11/2021 10:52,Cultura,Espécie,,E10
75,1234,cvcv,01/11/2021 10:52,Cultura,Espécie,,E11
76,1234,cvcv,01/11/2021 10:52,Cultura,Espécie,,E12
77,1234,cvcv,01/11/2021 10:52,Cultura,Espécie,,E13
78,1234,cvcv,01/11/2021 10:52,Cultura,Espécie,,E14
79,1234,cvcv,01/11/2021 10:52,Cultura,Espécie,,E15
80,1234,cvcv,01/11/2021 10:52,Cultura,Espécie,,E16
81,1234,cvcv,01/11/2021 10:52,Cultura,Espécie,,F1
82,1234,cvcv,01/11/2021 10:52,Cultura,Espécie,,F2
83,1234,cvcv,01/11/2021 10:52,Cultura,Espécie,,F3
84,1234,cvcv,01/11/2021 10:52,Cultura,Espécie,,F4
85,1234,cvcv,01/11/2021 10:52,Cultura,Espécie,,F5
86,1234,cvcv,01/11/2021 10:52,Cultura,Espécie,,F6
87,1234,cvcv,01/11/2021 10:52,Cultura,Espécie,,F7
88,1234,cvcv,01/11/2021 10:52,Cultura,Espécie,,F8
89,1234,cvcv,01/11/2021 10:52,Cultura,Espécie,,F9
90,1234,cvcv,01/11/2021 10:52,Cultura,Espécie,,F10
91,1234,cvcv,01/11/2021 10:52,Cultura,Espécie,,F11
92,1234,cvcv,01/11/2021 10:52,Cultura,Espécie,,F12
93,1234,cvcv,01/11/2021 10:52,Cultura,Espécie,,F13
94,1234,cvcv,01/11/2021 10:52,Cultura,Espécie,,F14
95,1234,cvcv,01/11/2021 10:52,Cultura,Espécie,,F15
96,1234,cvcv,01/11/2021 10:52,Cultura,Espécie,,F16
97,1234,cvcv,01/11/2021 10:52,Cultura,Espécie,,G1
98,1234,cvcv,01/11/2021 10:52,Cultura,Espécie,,G2
99,1234,cvcv,01/11/2021 10:52,Cultura,Espécie,,G3
100,1234,cvcv,01/11/2021 10:52,Cultura,Espécie,,G4
101,1234,cvcv,01/11/2021 10:52,Cultura,Espécie,,G5
102,1234,cvcv,01/11/2021 10:52,Cultura,Espécie,,G6
103,1234,cvcv,01/11/2021 10:52,Cultura,Espécie,,G7
104,1234,cvcv,01/11/2021 10:52,Cultura,Espécie,,G8
105,1234,cvcv,01/11/2021 10:52,Cultura,Espécie,,G9
106,1234,cvcv,01/11/2021 10:52,Cultura,Espécie,,G10
107,1234,cvcv,01/11/2021 10:52,Cultura,Espécie,,G11
108,1234,cvcv,01/11/2021 10:52,Cultura,Espécie,,G12
109,1234,cvcv,01/11/2021 10:52,Cultura,Espécie,,G13
110,1234,cvcv,01/11/2021 10:52,Cultura,Espécie,,G14
111,1234,cvcv,01/11/2021 10:52,Cultura,Espécie,,G15
112,1234,cvcv,01/11/2021 10:52,Cultura,Espécie,,G16
113,1234,cvcv,01/11/2021 10:52,Cultura,Espécie,,H1
114,1234,cvcv,01/11/2021 10:52,Cultura,Espécie,,H2
115,1234,cvcv,01/11/2021 10:52,Cultura,Espécie,,H3
116,1234,cvcv,01/11/2021 10:52,Cultura,Espécie,,H4
117,1234,cvcv,01/11/2021 10:52,Cultura,Espécie,,H5
